source,destination,relationshipType,distance
playground,park,X_is,5.120
playground,hit,X_is,4.960
playground,street,X_is,4.930
playground,close,verb_phrase,3.890
playground,park,and_or,7.790
playground,pool,and_or,7.360
playground,field,and_or,6.930
playground,garden,and_or,6.710
playground,child,possessor_of_x,7.350
playground,park,possessor_of_x,6.340
playground,pan,possessor_of_x,6.030
playground,build,subject_verb,3.330
playground,chalk,modified_noun,5.260
playground,swing,modified_noun,5.010
playground,slide,modified_noun,4.880
playground,build,modified_noun,4.860
me,wrong,adjective_predicates,1.920
me,more,adjective_predicates,1.740
me,happy,adjective_predicates,1.660
me,outside,adjective_predicates,1.590
me,first,adjective_predicates,1.540
me,much,adjective_predicates,1.420
me,bad,adjective_predicates,0.820
me,kiss,modifiers,8.300
me,catch,modifiers,8.150
me,you,modifiers,7.710
me,hear,modifiers,7.640
me,did,object_verb,3.790
me,that,is_X,7.530
me,love,is_X,4.550
me,heart,is_X,4.410
me,this,is_X,4.380
me,song,is_X,4.140
me,water,is_X,3.580
me,house,is_X,2.370
me,movie,X_is,5.120
me,song,X_is,4.910
me,myself,and_or,8.100
me,star,subject_verb,1.670
me,grow,modified_noun,8.060
me,down,modified_noun,7.800
me,myself,modified_noun,7.560
me,up,modified_noun,7.380
me,too,modified_noun,7.360
woman,afraid,adjective_predicates,7.490
woman,man,modifiers,9.190
woman,old,modifiers,8.290
woman,beautiful,modifiers,7.810
woman,black,modifiers,7.710
woman,help,object_verb,7.950
woman,treat,object_verb,7.150
woman,mother,is_X,8.600
woman,patient,is_X,8.100
woman,mother,X_is,8.780
woman,one,X_is,7.830
woman,time,X_is,7.440
woman,rip,verb_phrase,9.000
woman,man,and_or,12.580
woman,girl,and_or,10.840
woman,child,and_or,10.650
woman,people,and_or,7.450
woman,family,and_or,7.400
woman,mother,and_or,7.230
woman,baby,and_or,6.500
woman,wear,subject_verb,8.020
woman,face,subject_verb,7.720
woman,work,subject_verb,7.310
woman,have,subject_verb,7.150
woman,do,subject_verb,7.040
woman,make,subject_verb,7.030
woman,farmer,modified_noun,7.700
woman,child,modified_noun,7.460
garden,beautiful,adjective_predicates,7.510
garden,full,adjective_predicates,6.850
garden,vegetable,modifiers,9.250
garden,rain,modifiers,8.650
garden,square,modifiers,8.220
garden,rose,modifiers,7.900
garden,plant,object_verb,9.110
garden,water,object_verb,7.940
garden,stop,is_X,7.260
garden,park,is_X,6.810
garden,tree,X_is,6.890
garden,take,verb_phrase,7.050
garden,look,verb_phrase,5.920
garden,park,and_or,8.620
garden,farm,and_or,8.410
garden,pool,and_or,8.110
garden,house,and_or,8.020
garden,yard,and_or,7.970
garden,home,and_or,7.510
garden,tree,and_or,7.450
garden,grandmother,possessor_of_x,7.300
garden,octopus,possessor_of_x,7.290
garden,cook,possessor_of_x,7.160
garden,grow,subject_verb,6.080
garden,plant,subject_verb,5.340
garden,bed,modified_noun,8.120
garden,hose,modified_noun,7.940
song,beautiful,adjective_predicates,6.820
song,awesome,adjective_predicates,6.490
song,loud,adjective_predicates,6.300
song,amazing,adjective_predicates,6.220
song,love,modifiers,8.130
song,pop,modifiers,7.630
song,hit,modifiers,7.620
song,movie,modifiers,7.360
song,sing,object_verb,11.530
song,write,object_verb,8.760
song,play,object_verb,8.040
song,hear,object_verb,7.920
song,love,object_verb,6.580
song,hit,object_verb,6.350
song,hit,is_X,7.670
song,hit,X_is,9.090
song,cover,X_is,7.860
song,love,X_is,7.230
song,sing,verb_phrase,12.450
song,dance,and_or,10.030
song,bird,possessor_of_x,7.820
song,sound,subject_verb,7.350
song,like,subject_verb,6.190
song,play,subject_verb,6.110
song,sing,subject_verb,5.700
song,dance,modified_noun,8.000
blanket,soft,adjective_predicates,5.450
blanket,warm,adjective_predicates,4.720
blanket,heavy,adjective_predicates,4.040
blanket,wet,adjective_predicates,3.950
blanket,thin,adjective_predicates,3.910
blanket,fleece,modifiers,9.150
blanket,picnic,modifiers,8.270
blanket,pillow,modifiers,7.950
blanket,throw,modifiers,7.320
blanket,clothes,modifiers,7.270
blanket,warm,modifiers,7.200
blanket,baby,modifiers,7.180
blanket,weave,object_verb,6.360
blanket,pull,object_verb,6.300
blanket,grab,object_verb,5.940
blanket,grass,is_X,7.000
blanket,snow,is_X,6.660
blanket,sky,is_X,5.000
blanket,gift,X_is,4.810
blanket,hit,X_is,4.690
blanket,hand,verb_phrase,5.150
blanket,pillow,and_or,10.570
blanket,towel,and_or,9.080
blanket,clothes,and_or,8.360
blanket,chair,and_or,7.990
blanket,coat,and_or,7.550
blanket,horse,possessor_of_x,5.700
blanket,infant,possessor_of_x,5.290
blanket,baby,possessor_of_x,4.940
blanket,winter,possessor_of_x,4.360
blanket,grandmother,possessor_of_x,4.020
blanket,mom,possessor_of_x,3.180
blanket,round,subject_verb,4.790
blanket,cover,subject_verb,4.690
blanket,pillow,modified_noun,8.490
blanket,towel,modified_noun,7.140
kitty,cute,adjective_predicates,5.920
kitty,pink,adjective_predicates,5.540
kitty,sweet,adjective_predicates,3.410
kitty,bad,modifiers,7.010
kitty,pet,object_verb,5.810
kitty,them,object_verb,3.910
kitty,cat,is_X,5.780
kitty,cat,X_is,8.960
kitty,girl,X_is,5.040
kitty,friend,X_is,2.570
kitty,year,X_is,1.450
kitty,pick,verb_phrase,3.090
kitty,puppy,and_or,8.100
kitty,bunny,and_or,6.470
kitty,friend,possessor_of_x,1.810
kitty,meow,subject_verb,5.170
kitty,ear,subject_verb,4.960
kitty,kiss,subject_verb,4.880
kitty,love,subject_verb,3.900
kitty,break,subject_verb,3.780
kitty,color,subject_verb,3.780
kitty,lick,subject_verb,3.550
peekaboo,play,modifiers,1.040
peekaboo,play,object_verb,0.750
fat,bad,adjective_predicates,5.870
fat,belly,modifiers,9.800
fat,body,modifiers,8.890
fat,lose,modifiers,7.710
fat,chew,object_verb,7.340
fat,store,object_verb,6.420
fat,butter,is_X,9.260
fat,butter,X_is,7.310
fat,cut,verb_phrase,8.780
fat,take,verb_phrase,3.340
fat,salt,and_or,8.300
fat,muscle,and_or,8.220
fat,sheep,possessor_of_x,6.680
